Materia;abstain;name;for;time;against;id;dispensed;Artículo;date;Trámite;Sesión;Tipo de votación;Quorum;Observaciones
Modifica la ley N°17.798, sobre control de armas estableciendo mayores exigencias para inscribir un arma, prohibiendo el porte de las mismas y realiza otras modificaciones.;0;Boletín N°2219-02;46;12:57;48;4138;0;Enmiendas introducidas por el Senado en el artículo 1º, número 5.;2.3.2005;Tercer Trámite Constitucional /;45;Particular;Quorum Calificado;
Modifica la ley N°17.798, sobre control de armas estableciendo mayores exigencias para inscribir un arma, prohibiendo el porte de las mismas y realiza otras modificaciones.;0;Boletín N°2219-02;52;13:00;44;4139;0;Enmiendas introducidas por el Senado en el artículo 1º, número 6, salvo las recaídas en las letras c), d) y e), nueva, y en el inciso cuarto.;2.3.2005;Tercer Trámite Constitucional /;45;Particular;Quorum Calificado;
Modifica la ley N°17.798, sobre control de armas estableciendo mayores exigencias para inscribir un arma, prohibiendo el porte de las mismas y realiza otras modificaciones.;0;Boletín N°2219-02;52;13:01;46;4141;0;Enmienda introducida por el Senado en el artículo 1º, número 6, letra c).;2.3.2005;Tercer Trámite Constitucional /;45;Particular;Quorum Calificado;
Modifica la ley N°17.798, sobre control de armas estableciendo mayores exigencias para inscribir un arma, prohibiendo el porte de las mismas y realiza otras modificaciones.;0;Boletín N°2219-02;1;13:02;84;4142;0;Enmienda introducida por el Senado en el artículo 1º, número 6, letra d).;2.3.2005;Tercer Trámite Constitucional /;45;Particular;Quorum Calificado;
Modifica la ley N°17.798, sobre control de armas estableciendo mayores exigencias para inscribir un arma, prohibiendo el porte de las mismas y realiza otras modificaciones.;0;Boletín N°2219-02;3;13:02;84;4143;0;Enmienda introducida por el Senado en el artículo 1º, número 6, letra e), nueva.;2.3.2005;Tercer Trámite Constitucional /;45;Particular;Quorum Calificado;
Modifica la ley N°17.798, sobre control de armas estableciendo mayores exigencias para inscribir un arma, prohibiendo el porte de las mismas y realiza otras modificaciones.;0;Boletín N°2219-02;2;13:03;95;4144;0;Enmienda introducida por el Senado en el artículo 1º, número 6, inciso cuarto.;2.3.2005;Tercer Trámite Constitucional /;45;Particular;Quorum Calificado;
Modifica la ley N°17.798, sobre control de armas estableciendo mayores exigencias para inscribir un arma, prohibiendo el porte de las mismas y realiza otras modificaciones.;0;Boletín N°2219-02;51;13:04;45;4145;0;Enmienda introducida por el Senado en el artículo 1º, número 8.;2.3.2005;Tercer Trámite Constitucional /;45;Particular;Quorum Calificado;
Modifica la ley N°17.798, sobre control de armas estableciendo mayores exigencias para inscribir un arma, prohibiendo el porte de las mismas y realiza otras modificaciones.;0;Boletín N°2219-02;52;13:05;44;4146;0;Enmienda introducida por el Senado en el artículo 1º, número 10.;2.3.2005;Tercer Trámite Constitucional /;45;Particular;Quorum Simple;
Modifica la ley N°17.798, sobre control de armas estableciendo mayores exigencias para inscribir un arma, prohibiendo el porte de las mismas y realiza otras modificaciones.;0;Boletín N°2219-02;1;13:05;88;4147;0;Enmienda introducida por el Senado en el artículo 1º, número 10 bis.;2.3.2005;Tercer Trámite Constitucional /;45;Particular;Quorum Simple;
Modifica el Estatuto Docente estableciendo la concursabilidad de los cargos de directores.;0;Boletín N°3623-04;90;13:10;1;4149;0;Enmiendas del Senado recaídas en el articulado.;2.3.2005;Tercer Trámite Constitucional /;45;Particular;Quorum Simple;
Incluir los titulares de los principales diarios regionales en el ¿set¿ de prensa diaria proporcionado a los señores Diputados.;0;Proyecto de Acuerdo N°520;38;13:14;0;4150;0;;2.3.2005;;45;General y particular;;
Revisión de políticas sobre escuelas de educación especial.;0;Proyecto de Acuerdo N°523;52;13:19;0;4153;0;;2.3.2005;;45;General y particular;;
Penas accesorias consistentes en trabajo voluntario para participantes en manifestaciones que intervengan en actos de violencia.;1;Proyecto de Acuerdo N°526;40;13:24;0;4154;0;;2.3.2005;;45;General y particular;;
Solicitar al Ministro del Trabajo y Previsión Social que estudie la modificación al Seguro de Vida de la Caja Nacional de Empleados Públicos, hoy INP.;1;Proyecto de Acuerdo N°528;28;12:34;0;4161;0;;3.3.2005;;46;General y particular;;
Modifica la ley N° 19.175, en lo relativo a la estructura y funciones de los gobiernos regionales.;0;Boletín N°3203-06;95;21:00;0;4166;0;Enmiendas introducidas por el Senado, con excepción de las recaídas en los nuevos números 17, 18, 19 y 21 del artículo 1º, respecto de los cuales se pidió votación separada.;8.3.2005;Tercer Trámite Constitucional / Informe enmiendas del Senado;47;Particular;Quorum Simple;
Modifica la ley N° 19.175, en lo relativo a la estructura y funciones de los gobiernos regionales.;2;Boletín N°3203-06;58;21:01;30;4167;0;Incorporación de un número 17, nuevo, en el artículo 1º del proyecto.;8.3.2005;Tercer Trámite Constitucional / Informe enmiendas del Senado;47;Particular;Quorum Simple;
Modifica la ley N° 19.175, en lo relativo a la estructura y funciones de los gobiernos regionales.;2;Boletín N°3203-06;41;21:02;47;4168;0;Incorporación de un número 18, nuevo, en el artículo 1º del proyecto.;8.3.2005;Tercer Trámite Constitucional / Informe enmiendas del Senado;47;Particular;Quorum Simple;
